date,open,high,low,close,volume,unadjustedVolume,vwap,change,BACKWARDSchange,changeOverTime,SMA8,SMA10,SMA20,SMA50,EMA8,EMA10,EMA20,EMA50,RSGAIN,RSLOSS,RSI,Target (t + 1)
6/30/15,0.321950345,0.316495586,0.320721867,0.316162071,0.12881838,0.209978627,0.347483422,0.601464524,0.398535476,0.316162071,0.526219384,0.529047219,0.539040288,0.546983747,0.32516608,0.326339526,0.332756374,0.346767226,0.122697273,0.188701636,0.364876292,1
7/1/15,0.329526258,0.32111511,0.327189773,0.322827748,0.073476899,0.13323392,0.352656216,0.611660003,0.388339997,0.322827747,0.526219384,0.528755348,0.538364788,0.546944504,0.325345322,0.326256999,0.332310704,0.346564798,0.156659029,0.181594805,0.433736737,0
7/2/15,0.32684921,0.319706624,0.325930406,0.32191983,0.061619573,0.116790793,0.351337795,0.563048652,0.436951348,0.32191983,0.525611934,0.528154855,0.537624937,0.546949344,0.325273969,0.326015886,0.331815012,0.346330616,0.156659029,0.150715818,0.480972816,0
7/6/15,0.318361627,0.317115344,0.320664844,0.31942396,0.064946198,0.121403984,0.348329504,0.552852942,0.447147058,0.319423959,0.525077176,0.52790466,0.536949437,0.546774972,0.324639086,0.32534141,0.331112338,0.345996506,0.156659029,0.155371974,0.47320214,0
7/7/15,0.32377308,0.316664557,0.314483268,0.317665245,0.138906697,0.223968583,0.344709007,0.557586798,0.442413202,0.317665245,0.523820731,0.527104047,0.536354334,0.546487215,0.323737024,0.324453305,0.330297471,0.345598614,0.137004497,0.162968857,0.42727715,0
7/8/15,0.315741332,0.308158113,0.307443309,0.299965667,0.193006516,0.298991416,0.336411558,0.455265758,0.544734242,0.299965667,0.521261177,0.525244272,0.535302868,0.545887715,0.318926671,0.32034257,0.327757602,0.344442554,0.137004497,0.232076727,0.342483787,0
7/9/15,0.312152615,0.304890951,0.288441181,0.285783518,0.262843559,0.39583782,0.326569264,0.477843216,0.522156784,0.285783518,0.517793063,0.521891684,0.533825189,0.544881736,0.311893066,0.31426766,0.324015251,0.34271183,0.120240299,0.293341662,0.264798977,1
7/10/15,0.301272353,0.303708157,0.299831296,0.303993574,0.1953282,0.302211009,0.332992837,0.685760378,0.314239622,0.303993573,0.517144068,0.520132014,0.532699335,0.544318295,0.310649735,0.312778984,0.32248391,0.341845064,0.213020899,0.261972831,0.4189926,1
7/13/15,0.318874215,0.31443928,0.317631079,0.317495086,0.117343714,0.194066152,0.345744827,0.655537459,0.344462541,0.317495086,0.517266064,0.519677501,0.532110284,0.544113819,0.312816916,0.314142422,0.322473467,0.341602535,0.252618572,0.261972831,0.461843409,0
7/14/15,0.324627393,0.317904072,0.321751928,0.317211287,0.079465864,0.141539107,0.348791525,0.567054086,0.432945914,0.317211287,0.516752051,0.520127815,0.531796645,0.544195833,0.314436621,0.315203702,0.322435115,0.341357109,0.252618572,0.248984468,0.474794583,1
